"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bhutan","BTN","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","21573400.9356296","36670916.0906459","39435787.0694034","50458392.9552347","51571126.8771353","48525784.6111172","61583945.0886176","116527548.68499","115593553.672279","126915061.430321","125308036.483975","122060688.944823","140409728.760884","142266197.133723","152276149.22084","176581032.874807","182908893.988363","181368314.91537","189877347.742747","218504159.714539","234360154.401783","264275883.329417","308573241.079331","338310861.636309","345207255.378022","358246189.454836","389919436.161896","548729379.452813","582841849.66489","602973146.59466","678249559.329744","705777215.863315","753543195.523941","782945811.708695","812010904.742062","878723940.387722","939676629.246367","963612203.227987","917726170.198972","",
"Botswana","BWA","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","20666616.4234626","20219766.8093435","20890041.2305222","19326086.3421102","29003481.6818948","48139837.9817014","45985399.2258453","48643176.9815","44605564.8392791","95472239.8355811","162790252.396956","201394340.625681","254513593.194342","308576224.13215","336334143.939371","405173899.128189","458323056.738621","561042954.172591","677975776.157956","750778681.060644","910973160.823058","1071142876.05904","1310832555.05621","1605686980.22259","1739498815.64017","1800400339.40214","1928716682.51065","2096268008.91982","2439197283.94702","2697626730.36194","2802257004.63934","2931508302.42581","2878131705.15327","2854046908.68556","2926904370.59042","3135733115.85702","3115077249.48935","3319853617.70289","3269217665.54455","3487314347.21953","3724641058.89166","3739762428.82112","4216667172.75041","4294074703.64567","4244777311.66316","4484042710.53508","4833807876.62566","4930881368.22735","4935194054.22305","3601214565.33284","4073994627.29628","4133436057.09283","4145880137.82157","4803658866.74709","4792432056.29767","4363925207.97214","4413817736.5513","4303467719.67355","4541021852.24678","4549618726.27178",
"Central African Republic","CAF","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","534453437.781942","525147520.899089","591663205.60791","634558684.352138","343969434.470732","292656573.237304","328603713.023169","338013292.251949","343889466.375303","349125895.735228","386973188.53528",
"Canada","CAN","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","455052400837.635","448224956604.234","404063317681.602","431006640258.261","450609248672.192","461127949373.475","473038550140.511","493367120450.928","487919748461.205","480976882764.215","502520497843.636","515230515430.745","511283216955.531",
"Central Europe and the Baltics","CEB","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","225448519021.537","235603469740.912","237438471189.931","241306534480.458","242903153146.868","250070976236.411","257400112758.141","265754119722.454","280213726327.656","302174012257.414","319904623847.886","353126619454.231","379237935594.64","401936411175.876","376174270599.206","389715410777.74","408588643433.226","399693385697.461","396211763865.93","418094538964.492","437193017239.507","444847985608.04","465694176022.395","486160282651.752","501057647780.63",
"Switzerland","CHE","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119397813177.067","118961712905.254","118875429748.684","118788369842.789","123044872760.031","122219712951.464","119799684103.542","119778337054.098","121030168174.017","121731403011.386","123155526768.073","127825629195.005","129974139483.506","129725334502.26","130902354733.251","135349729460.12","141908095064.227","146951186197.49","151603961964.728","140399484018.04","149451649856.948","157862397188.819","157839631333.191","159067874983.177","159756106389.209","160200014727.83","163266378894.32","170677528942.278","177239034802.294","181863777565.409",
"Channel Islands","CHI","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","15538565381.1857","16294890743.8362","18311616703.8118","19702073811.9382","19978125131.4333","19989175684.6386","21517764707.8318","22095368623.4497","22993013560.7456","23866007263.9678","24319929987.9413","26731713225.0079","26151771692.3659","24290603519.8194","25666397393.885","20068017131.546","20858981728.2825","22083680538.3288","23687498327.5739","25845756372.8332","27962787354.2111","29719825313.861","25355706840.3038","25161684627.2946","26937636033.7769","28218012631.1269","29851841031.2812","31112783744.5197","33685924596.1356","36622272846.2172","37232967904.4087","39975009701.6808","43672189927.2463","47007347851.0128","49113733494.4134","53222537249.6273","56755877879.3091","61063077450.8072","63641626169.9562","64334810082.0369","67088599512.915","68237118508.8224","68391810333.1599","69686611256.9243","72340962593.3047","73395090921.717","76313531316.4261","76690988685.6111","77854028192.6676","75693364797.8137","78007185465.0629","80242655198.0686","84088061087.6847","87716036322.0599","88139004076.7125","88946518123.2282","88728423492.6909","88262029410.0902","92554777615.5598","92904928656.0472",
"China","CHN","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","28928991764.6714","16807744212.2384","15026123330.2505","17204911211.3684","21592163574.1725","26774282835.5106","32718173621.8994","28039474795.3383","25459843106.5632","33861591340.8656","45577701938.94","51229336978.779","54661702564.6245","59198623878.9618","60027404614.5936","69451707129.344","67784866161.0691","76732468499.1638","88469319799.5791","95723804023.1447","108640324713.883","110675119069.274","116867971455.244","128988268267.786","147655294745.498","174815375923.969","192686178523.484","218873097184.158","250191236393.21","259568984291.965","267885100353.126","304776806709.55","368828594244.446","441727313759.298","521792048177.917","593983013134.374","665820100811.633","735533924813.701","801089690785.189","866733926076.477","948921924170.286","1029429005187.9","1131345661597.02","1274665959672.34","1416659217950.66","1588555106321.25","1802208513637.22","2073455448142.74","2277465699600.57","2511820927749.65","2830398948347.93","3132964022062.49","3395010147308.86","3666168612494.57","3928480145700.32","4161331395412.81","4412318855684.21","4671268554737.57","4941807734684.69","5221193846611.77",
"Cote d'Ivoire","CIV","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5596925934.82722","5814404167.16566","5581626546.62756","5154651134.76866","5080932312.33721","6546042486.85767","6840746402.51493","7408238699.28802","7802793709.91323","9005706693.376","9965043549.13387","11002441271.4339",
